country,cases,confirmed,deaths,recovered,updated_at
Afghanistan,,209484,7896,,2023-03-10T13:21:02.000Z
Albania,,334457,3598,,2023-03-10T13:21:02.000Z
Algeria,,271496,6881,,2023-03-10T13:21:02.000Z
Andorra,,47890,165,,2023-03-10T13:21:02.000Z
Angola,,105288,1933,,2023-03-10T13:21:02.000Z
Antarctica,,11,0,,2023-03-10T13:21:02.000Z
Antigua and Barbuda,,9106,146,,2023-03-10T13:21:02.000Z
Argentina,,10044957,130472,,2023-03-10T13:21:02.000Z
Armenia,,447308,8727,,2023-03-10T13:21:02.000Z
Australia,,11401996,19578,,2023-03-10T13:21:02.000Z
Austria,,5961143,21970,,2023-03-10T13:21:02.000Z
Azerbaijan,,828825,10138,,2023-03-10T13:21:02.000Z
Bahamas,,37491,833,,2023-03-10T13:21:02.000Z
Bahrain,,710693,1553,,2023-03-10T13:21:02.000Z
Bangladesh,,2037871,29445,,2023-03-10T13:21:02.000Z
Barbados,,106798,579,,2023-03-10T13:21:02.000Z
Belarus,,994037,7118,,2023-03-10T13:21:02.000Z
Belgium,,4739365,33814,,2023-03-10T13:21:02.000Z
Belize,,70757,688,,2023-03-10T13:21:02.000Z
Benin,,27999,163,,2023-03-10T13:21:02.000Z
Bhutan,,62627,21,,2023-03-10T13:21:02.000Z
Bolivia,,1194277,22365,,2023-03-10T13:21:02.000Z
Bosnia and Herzegovina,,401729,16280,,2023-03-10T13:21:02.000Z
Botswana,,329758,2801,,2023-03-10T13:21:02.000Z
Brazil,,37085675,699310,,2023-03-10T13:21:02.000Z
Brunei,,279661,225,,2023-03-10T13:21:02.000Z
Bulgaria,,1297523,38228,,2023-03-10T13:21:02.000Z
Burkina Faso,,22056,396,,2023-03-10T13:21:02.000Z
Burma,,633950,19490,,2023-03-10T13:21:02.000Z
Burundi,,53631,38,,2023-03-10T13:21:02.000Z
Cabo Verde,,63244,413,,2023-03-10T13:21:02.000Z
Cambodia,,138719,3056,,2023-03-10T13:21:02.000Z
Cameroon,,124392,1965,,2023-03-10T13:21:02.000Z
Canada,,4617095,51720,,2023-03-10T13:21:02.000Z
Central African Republic,,15368,113,,2023-03-10T13:21:02.000Z
Chad,,7679,194,,2023-03-10T13:21:02.000Z
Chile,,5192286,64273,,2023-03-10T13:21:02.000Z
China,,4903524,101056,,2023-03-10T13:21:02.000Z
Colombia,,6359093,142339,,2023-03-10T13:21:02.000Z
Comoros,,9008,161,,2023-03-10T13:21:02.000Z
Congo (Brazzaville),,25087,388,,2023-03-10T13:21:02.000Z
Congo (Kinshasa),,95749,1464,,2023-03-10T13:21:02.000Z
Costa Rica,,1209725,9245,,2023-03-10T13:21:02.000Z
Cote d'Ivoire,,88263,834,,2023-03-10T13:21:02.000Z
Croatia,,1269326,17987,,2023-03-10T13:21:02.000Z
Cuba,,1112643,8530,,2023-03-10T13:21:02.000Z
Cyprus,,650685,1330,,2023-03-10T13:21:02.000Z
Czechia,,4619204,42497,,2023-03-10T13:21:02.000Z
Denmark,,3451036,8345,,2023-03-10T13:21:02.000Z
Diamond Princess,,712,13,,2023-03-10T13:21:02.000Z
Djibouti,,15690,189,,2023-03-10T13:21:02.000Z
Dominica,,15760,74,,2023-03-10T13:21:02.000Z
Dominican Republic,,660790,4384,,2023-03-10T13:21:02.000Z
Ecuador,,1057121,36014,,2023-03-10T13:21:02.000Z
Egypt,,515759,24812,,2023-03-10T13:21:02.000Z
El Salvador,,201785,4230,,2023-03-10T13:21:02.000Z
Equatorial Guinea,,17229,183,,2023-03-10T13:21:02.000Z
Eritrea,,10189,103,,2023-03-10T13:21:02.000Z
Estonia,,615433,2946,,2023-03-10T13:21:02.000Z
Eswatini,,74267,1425,,2023-03-10T13:21:02.000Z
Ethiopia,,500116,7572,,2023-03-10T13:21:02.000Z
Fiji,,68898,883,,2023-03-10T13:21:02.000Z
Finland,,1463644,8967,,2023-03-10T13:21:02.000Z
France,,39866718,166176,,2023-03-10T13:21:02.000Z
Gabon,,48981,306,,2023-03-10T13:21:02.000Z
Gambia,,12598,372,,2023-03-10T13:21:02.000Z
Georgia,,1827537,16971,,2023-03-10T13:21:02.000Z
Germany,,38249060,168935,,2023-03-10T13:21:02.000Z
Ghana,,171229,1462,,2023-03-10T13:21:02.000Z
Greece,,5548487,34779,,2023-03-10T13:21:02.000Z
Grenada,,19680,238,,2023-03-10T13:21:02.000Z
Guatemala,,1238247,20182,,2023-03-10T13:21:02.000Z
Guinea,,38267,467,,2023-03-10T13:21:02.000Z
Guinea-Bissau,,8960,176,,2023-03-10T13:21:02.000Z
Guyana,,73075,1298,,2023-03-10T13:21:02.000Z
Haiti,,34202,860,,2023-03-10T13:21:02.000Z
Holy See,,29,0,,2023-03-10T13:21:02.000Z
Honduras,,472250,11111,,2023-03-10T13:21:02.000Z
Hungary,,2196804,48762,,2023-03-10T13:21:02.000Z
